src_app,target_app,count,mean,std,min,25%,50%,75%,max
a24-b22,a22-b22,24.0,0.20350297850297847,0.06578464851801262,0.1538461538461538,0.1666666666666666,0.1742424242424242,0.20555555555555557,0.3636363636363636
a24-b22,a23-b22,17.0,0.37372594725535907,0.21707680693473377,0.1538461538461538,0.2,0.25,0.6666666666666666,0.7272727272727273
a24-b22,a25-b22,37.0,0.3969591969591969,0.041910684382257174,0.3076923076923076,0.3636363636363636,0.4,0.4444444444444444,0.4444444444444444
a25-b22,a21-b22,65.0,0.6041025641025641,0.08228669653929742,0.4,0.6,0.6,0.6666666666666665,0.75
a25-b22,a22-b22,49.0,0.30762140353977085,0.10467661388108154,0.2,0.2222222222222222,0.25,0.4444444444444445,0.5
a25-b22,a23-b22,27.0,0.49692159692159676,0.16838839390222693,0.2222222222222222,0.3472222222222222,0.6,0.6,0.6666666666666665
a25-b22,a24-b22,65.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
a33-b31,a35-b31,28.0,0.23900379990052695,0.04100174214732015,0.0952380952380952,0.2291021671826625,0.2352941176470588,0.25,0.3076923076923076
a33-b32,a35-b32,32.0,0.35948305167055167,0.1308419897940938,0.1666666666666666,0.23295454545454544,0.3636363636363636,0.41111111111111115,0.6
a35-b31,a33-b31,34.0,0.391034101979285,0.248749597218073,0.1111111111111111,0.1176470588235294,0.5,0.631578947368421,0.631578947368421
a35-b32,a33-b32,39.0,0.4221974606589991,0.2263949947966155,0.1428571428571428,0.1666666666666666,0.5,0.6666666666666666,0.6666666666666666
a43-b41,a44-b41,53.0,0.6645103324348607,0.037104399618860466,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8
a43-b41,a45-b41,56.0,0.66156462585034,0.02163883646940026,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
a43-b42,a44-b42,34.0,0.7223433429315782,0.12819201797081034,0.2222222222222222,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
a43-b42,a45-b42,31.0,0.7252550317066446,0.1427085699233329,0.2222222222222222,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
a44-b41,a43-b41,54.0,0.6613756613756614,0.022020217364063226,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
a44-b41,a45-b41,59.0,0.6618240516545598,0.02110208359730684,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
